日期,实际收盘价,预测收盘价,实际涨跌幅(%),预测涨跌幅(%),误差,误差率(%)
2023-12-22,110.39,109.63657493450154,-3.3277870216306127,-0.6825120622325025,0.7534250654984618,0.68
2023-12-25,111.25,109.56374216417095,0.7790560739197483,-0.7484897507283726,1.6862578358290534,1.52
2023-12-26,106.96,105.64869010831622,-3.856179775280899,-1.2259815741247009,1.311309891683777,1.23
2023-12-27,107.13,107.06927661639405,0.15893792071801638,-0.056681959867398074,0.060723383605946424,0.06
2023-12-28,109.01,112.10360992723469,1.7548772519369038,2.837913886097303,3.093609927234681,2.84
2023-12-29,112.91,113.72771270004382,3.5776534262911497,0.724216367056789,0.8177127000438276,0.72
2024-01-02,110.61,113.80109659896388,-2.037020635904696,0.78920963507562,3.191096598963881,2.88
2024-01-03,104.99,103.3122028395674,-5.080914926317693,-1.5980542531980084,1.6777971604325899,1.6
2024-01-04,104.0,102.48567115724383,-0.9429469473283159,-1.4560854257270959,1.5143288427561714,1.46
2024-01-05,100.03,96.9610213016413,-3.817307692307692,-3.068058280874437,3.0689786983587055,3.07
2024-01-08,98.8,99.46695364547904,-1.2296311106668067,-0.5628774912735861,0.6669536454790403,0.68
2024-01-09,101.32,103.84040023232383,2.55060728744938,2.4875643824751794,2.520400232323837,2.49
2024-01-10,100.0,99.04161254870887,-1.302803000394781,-0.9583874512911278,0.9583874512911308,0.96
2024-01-11,103.39,106.87806016825739,3.390000000000004,3.3736920091472995,3.488060168257391,3.37
2024-01-12,100.56,98.7854502969753,-2.7372086275268437,-1.7646675646625958,1.7745497030247037,1.76
2024-01-15,101.88,100.07949481981763,1.3126491646777927,-0.4778293359013254,1.8005051801823697,1.77
2024-01-16,100.29,99.97606756985647,-1.5606595995288464,-0.3130246586334953,0.313932430143538,0.31
2024-01-17,99.02,98.34424503219023,-1.2663276498155462,-0.6824429083112126,0.6757549678097661,0.68
2024-01-18,109.83,113.9188892050082,10.91698646738033,3.7229256168698814,4.088889205008201,3.72
2024-01-19,111.0,110.19858907492622,1.065282709642168,-0.7219918243907985,0.8014109250737818,0.72
2024-01-22,111.6,111.61680502935606,0.540540540540535,0.5556802066270795,0.016805029356063983,0.02
2024-01-23,114.0,117.84873063943945,2.1505376344086002,3.3760795082802386,3.8487306394394523,3.38
2024-01-24,113.7,113.45917111855465,-0.2631578947368429,-0.21181080162300397,0.24082888144535275,0.21
2024-01-25,118.35,121.51010032421023,4.089709762532978,2.67013124141127,3.1601003242102337,2.67
2024-01-26,115.96,111.8871858177941,-2.0194338825517577,-3.5122578321885873,4.072814182205889,3.51
2024-01-29,103.82,116.12861536992314,-10.469127285270785,0.14540821828488176,12.308615369923146,11.86
2024-01-30,101.2,99.87004997727169,-2.5235985359275626,-1.314179864356037,1.3299500227283119,1.31
2024-01-31,102.8,103.17331966877936,1.5810276679841806,0.36315142877370044,0.3733196687793594,0.36
2024-02-01,111.05,116.4598647117208,8.025291828793769,4.871557597227183,5.4098647117208,4.87
2024-02-02,109.85,108.35736345132247,-1.0805943268797913,-1.3587952195516888,1.492636548677524,1.36
2024-02-05,112.0,110.19377943634014,1.9572143832498945,0.3129535151025423,1.8062205636598634,1.61
2024-02-06,124.88,134.29059316434098,11.5,7.535708811932242,9.41059316434098,7.54
2024-02-07,124.61,125.15313016803377,-0.21620755925688684,0.43586403020123093,0.5431301680337697,0.44
2024-02-08,127.0,128.63814892775497,1.9179841104245199,1.2898810454763572,1.638148927754969,1.29
2024-02-19,152.4,128.38892602774305,19.999999999999996,1.0936425415299749,24.011073972256952,15.76
2024-02-20,159.5,162.85258902325623,4.658792650918642,2.1019366916967015,3.352589023256229,2.1
2024-02-21,149.96,146.67276146341854,-5.9811912225705255,-2.1920769115640515,3.2872385365814694,2.19
2024-02-22,154.51,156.54295302987202,3.034142437983456,1.3157420425034272,2.032953029872033,1.32
2024-02-23,147.73,148.8519023329932,-4.388065497378813,0.7594275590558538,1.1219023329932156,0.76
2024-02-26,149.03,146.5663855067348,0.8799837541460853,-0.7876629616632916,2.4636144932651973,1.65
2024-02-27,161.94,174.55339241580538,8.662685365362677,7.788929489814353,12.613392415805379,7.79
2024-02-28,149.81,143.99497035239725,-7.490428553785355,-3.8816031290319484,5.815029647602756,3.88
2024-02-29,155.16,164.615028083211,3.571190174220673,6.093727818517028,9.455028083211005,6.09
2024-03-01,161.1,164.05991976714134,3.828306264501169,1.8373182912112553,2.9599197671413435,1.84
2024-03-04,165.66,162.75435182621212,2.830540037243945,1.026909885916892,2.905648173787881,1.75
2024-03-05,169.16,165.38054792937004,2.1127610769045013,-2.2342469086249532,3.779452070629958,2.23
2024-03-06,167.28,167.81595047118185,-1.1113738472452117,0.3203912429350967,0.5359504711818488,0.32
2024-03-07,164.14,160.42253354598577,-1.8770923003347817,-2.2648144596163196,3.7174664540142146,2.26
2024-03-08,174.99,182.31763810658143,6.6102107956622635,4.187461058678448,7.327638106581418,4.19
2024-03-11,170.6,177.9716661603126,-2.5087147837019375,1.703906600555794,7.3716661603126,4.32
2024-03-12,164.85,164.41140544875358,-3.3704572098475993,-0.2660567493153882,0.43859455124641045,0.27
2024-03-13,165.0,167.8596782159082,0.09099181073703999,1.7331383126716369,2.8596782159081897,1.73
2024-03-14,169.53,172.81256618356778,2.74545454545454,1.9362745139903255,3.2825661835677806,1.94
2024-03-15,177.36,180.7783718951066,4.6186515660945116,1.9273634952112104,3.4183718951065885,1.93
2024-03-18,179.99,180.1709465035737,1.4828597203428107,1.5848818806798086,0.18094650357369346,0.1
2024-03-19,173.81,174.5499766492336,-3.433524084671369,0.42573882356226406,0.7399766492335971,0.43
2024-03-20,168.96,169.35513879591986,-2.7904033139635187,0.23386529114575044,0.39513879591984846,0.23
2024-03-21,167.68,167.7694186493605,-0.7575757575757569,0.053326961689215566,0.08941864936048205,0.05
2024-03-22,167.68,166.9544090149228,0.0,-0.43272363136761216,0.7255909850772184,0.43
2024-03-25,166.51,168.64331562271022,-0.6977576335877922,0.5744964352994966,2.133315622710228,1.28
2024-03-26,158.5,158.02952110166882,-4.810521890577135,-0.29683211251177866,0.47047889833118006,0.3
2024-03-27,154.2,148.47909379512197,-2.7129337539432252,-3.7100559045901615,5.72090620487802,3.71
2024-03-28,154.69,155.36322557515854,0.31776913099870185,0.4352094997469324,0.6732255751585399,0.44
2024-03-29,156.56,158.33040984944597,1.2088693516064453,1.1308187592271237,1.7704098494459686,1.13
2024-04-01,163.0,157.3668234338833,4.113438937148706,0.5153445540899954,5.633176566116703,3.46
2024-04-02,162.55,162.40242916400393,-0.27607361963190025,-0.09078488833963012,0.14757083599607768,0.09
2024-04-03,156.1,151.87398862069395,-3.9680098431251976,-2.707246239145461,4.226011379306044,2.71
2024-04-08,164.56,156.11376420259222,5.419602818705971,0.008817554511370618,8.44623579740778,5.13
2024-04-09,164.9,166.72957155772468,0.20661157024792765,1.1095036735746866,1.8295715577246767,1.11
2024-04-10,159.5,153.35840840838395,-3.2747119466343233,-3.8505276436464175,6.141591591616049,3.85
2024-04-11,160.15,161.1791313185096,0.40752351097179673,0.6426046322257749,1.0291313185095987,0.64
2024-04-12,169.33,176.26695126779273,5.7321261317514915,4.096705408251775,6.936951267792722,4.1
2024-04-15,169.5,171.66048100680172,0.100395677080245,1.3762954035325636,2.1604810068017173,1.27
2024-04-16,166.36,163.84711734130715,-1.8525073746312626,-1.5105089316499591,2.5128826586928596,1.51
2024-04-17,174.61,181.18187755843917,4.95912478961289,3.763746382474734,6.571877558439155,3.76
2024-04-18,173.38,170.03655407910827,-0.7044270087623983,-1.928391925765219,3.3434459208917247,1.93
2024-04-19,170.7,167.0272746315293,-1.54573768600762,-2.151567292601448,3.6727253684706795,2.15
2024-04-22,158.36,170.9562468112738,-7.229056824838887,0.1501152965868774,12.596246811273772,7.95
2024-04-23,157.51,160.2842769663533,-0.5367517049760129,1.7613338622013113,2.7742769663533124,1.76
2024-04-24,168.27,167.96749720765905,6.83131229763192,-0.1797722662037004,0.30250279234095956,0.18
